epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.296,0.67916,2.22065,0.93533,1,0.07807,0.32093,0.22926,0.69749,3.0242,0.90121,0.000653595,0.000653595,0.000653595
2,17.5174,0.70005,1.36004,0.92247,0.83003,0.73992,0.87294,0.69999,0.74016,1.71736,0.96387,0.00131155,0.00131155,0.00131155
3,25.5299,0.70545,1.1408,0.9198,0.89618,0.82251,0.91588,0.70943,0.78006,1.43689,0.95525,0.0019607,0.0019607,0.0019607
4,33.4161,0.71164,0.95598,0.9463,0.92863,0.90127,0.95658,0.79468,0.72661,0.87561,1.01829,0.0019604,0.0019604,0.0019604
5,41.3533,0.68294,0.84672,0.93829,0.97739,0.93552,0.97506,0.8017,0.66878,0.77441,0.92632,0.0019472,0.0019472,0.0019472
6,49.311,0.62212,0.71332,0.90975,0.8984,0.78788,0.85906,0.67475,0.84022,1.23226,0.98174,0.001934,0.001934,0.001934
7,57.4238,0.62729,0.654,0.91107,0.88812,0.78788,0.86875,0.71773,0.75093,0.96973,0.99331,0.0019208,0.0019208,0.0019208
8,65.2753,0.59466,0.60396,0.90388,0.92866,0.83983,0.8842,0.69326,0.83777,0.93312,1.03592,0.0019076,0.0019076,0.0019076
9,73.1333,0.56643,0.57053,0.89174,0.99411,0.99134,0.99496,0.87376,0.51769,0.49496,0.8835,0.0018944,0.0018944,0.0018944
10,80.986,0.58892,0.57056,0.90911,0.99343,0.99567,0.994,0.8529,0.5858,0.52541,0.93451,0.0018812,0.0018812,0.0018812
11,88.9662,0.57626,0.52498,0.90163,0.9914,0.99813,0.99496,0.87684,0.52844,0.46381,0.89391,0.001868,0.001868,0.001868
12,96.9196,0.52064,0.49484,0.87411,0.99039,0.98268,0.99338,0.87552,0.50506,0.44323,0.8776,0.0018548,0.0018548,0.0018548
13,104.856,0.52632,0.48352,0.87273,0.9775,0.98701,0.98961,0.86832,0.54037,0.4403,0.88528,0.0018416,0.0018416,0.0018416
14,112.736,0.54246,0.48564,0.88136,0.9828,0.98941,0.99204,0.87973,0.5166,0.42343,0.90044,0.0018284,0.0018284,0.0018284
15,120.608,0.52036,0.4754,0.87811,0.99567,0.9949,0.99496,0.89949,0.46904,0.41224,0.87018,0.0018152,0.0018152,0.0018152
16,128.606,0.50187,0.44753,0.87042,0.99948,0.99567,0.995,0.89472,0.47864,0.39239,0.86065,0.001802,0.001802,0.001802
17,136.537,0.52602,0.43628,0.88558,0.98717,0.99946,0.99483,0.89494,0.47379,0.37308,0.87021,0.0017888,0.0017888,0.0017888
18,144.41,0.4804,0.42263,0.86691,0.99805,0.97835,0.99478,0.90723,0.46349,0.38082,0.87093,0.0017756,0.0017756,0.0017756
19,152.253,0.48977,0.43184,0.86479,0.9876,0.98268,0.99462,0.90287,0.45925,0.42053,0.8678,0.0017624,0.0017624,0.0017624
20,160.098,0.4795,0.42035,0.87087,0.99564,0.98813,0.99496,0.91223,0.45715,0.3698,0.8594,0.0017492,0.0017492,0.0017492
21,168.043,0.49021,0.41802,0.86778,0.98946,0.98268,0.99483,0.89263,0.45143,0.39847,0.86542,0.001736,0.001736,0.001736
22,176.108,0.44197,0.3913,0.85847,0.9839,0.98701,0.99348,0.90539,0.43449,0.40324,0.85997,0.0017228,0.0017228,0.0017228
23,184.058,0.46536,0.40939,0.85884,0.9935,0.99134,0.99491,0.9161,0.43748,0.34181,0.87278,0.0017096,0.0017096,0.0017096
24,191.896,0.45709,0.40281,0.8615,0.99137,0.99496,0.99483,0.90447,0.44442,0.37268,0.8776,0.0016964,0.0016964,0.0016964
25,199.728,0.45215,0.39078,0.86497,0.99,0.97403,0.9939,0.89705,0.48708,0.38785,0.89304,0.0016832,0.0016832,0.0016832
26,207.629,0.43087,0.36705,0.8561,0.99569,0.9996,0.9944,0.92086,0.42821,0.3216,0.85715,0.00167,0.00167,0.00167
27,215.659,0.46188,0.39854,0.86528,0.99557,0.97403,0.99408,0.90498,0.42683,0.37486,0.84725,0.0016568,0.0016568,0.0016568
28,223.551,0.46199,0.37696,0.85831,0.99872,0.99567,0.995,0.909,0.44188,0.33377,0.8743,0.0016436,0.0016436,0.0016436
