epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7097,0.60282,2.10547,0.94686,0.85008,0.95734,0.94982,0.77708,0.58362,1.00816,0.93531,0.000653595,0.000653595,0.000653595
2,22.0979,0.62623,0.6457,0.93801,0.85729,0.83983,0.90749,0.69862,0.81712,0.81113,1.05584,0.00131155,0.00131155,0.00131155
3,32.3609,0.67218,0.65117,0.97088,0.96613,0.74097,0.87847,0.6992,0.85807,0.94715,1.14376,0.0019607,0.0019607,0.0019607
4,42.7973,0.67664,0.62403,0.9659,0.74537,0.7013,0.77533,0.55825,0.94901,1.07175,1.17193,0.0019604,0.0019604,0.0019604
5,53.0556,0.65748,0.5795,0.95485,0.90684,0.87879,0.94673,0.77522,0.67075,1.20992,0.99408,0.0019472,0.0019472,0.0019472
6,63.2471,0.623,0.51667,0.93429,0.95242,0.95317,0.96979,0.82339,0.60715,0.51175,0.97658,0.001934,0.001934,0.001934
7,73.4751,0.60896,0.50653,0.93369,0.9657,0.97403,0.9924,0.83756,0.61311,0.46218,0.95549,0.0019208,0.0019208,0.0019208
8,83.7264,0.596,0.48886,0.92749,0.95737,0.93939,0.97952,0.8362,0.58815,0.5014,0.94241,0.0019076,0.0019076,0.0019076
9,93.9456,0.55277,0.48296,0.91168,0.97014,0.97403,0.99189,0.8516,0.56495,0.45495,0.92954,0.0018944,0.0018944,0.0018944
10,104.222,0.5463,0.4732,0.91526,0.95477,0.95238,0.98347,0.85055,0.53702,0.46718,0.93894,0.0018812,0.0018812,0.0018812
11,114.601,0.5491,0.44061,0.90779,0.98701,0.98653,0.99434,0.87517,0.54552,0.39187,0.92768,0.001868,0.001868,0.001868
12,125.127,0.52933,0.43429,0.90157,0.99063,1,0.99398,0.90092,0.47197,0.35057,0.89794,0.0018548,0.0018548,0.0018548
13,135.654,0.50876,0.42101,0.89219,0.97586,0.98701,0.99312,0.88397,0.48472,0.38686,0.89563,0.0018416,0.0018416,0.0018416
14,145.862,0.50549,0.42094,0.88108,0.99473,0.99567,0.99366,0.89233,0.48171,0.36164,0.89728,0.0018284,0.0018284,0.0018284
15,156.067,0.50076,0.42473,0.89676,0.9861,0.99134,0.99384,0.89376,0.46219,0.35801,0.89539,0.0018152,0.0018152,0.0018152
16,166.283,0.49424,0.4251,0.89295,0.98236,0.99134,0.99452,0.90355,0.44736,0.35046,0.88552,0.001802,0.001802,0.001802
17,176.5,0.46226,0.3775,0.87996,1,0.98989,0.995,0.90367,0.45431,0.34779,0.87034,0.0017888,0.0017888,0.0017888
18,186.708,0.45789,0.3817,0.86213,0.99466,1,0.99487,0.91288,0.42636,0.32277,0.87269,0.0017756,0.0017756,0.0017756
19,197.012,0.46688,0.38637,0.86798,0.98971,0.99567,0.99483,0.91274,0.44631,0.33615,0.8836,0.0017624,0.0017624,0.0017624
20,207.249,0.45438,0.37818,0.87644,0.99449,1,0.99496,0.92224,0.42317,0.32054,0.86476,0.0017492,0.0017492,0.0017492
21,217.497,0.45241,0.38315,0.86648,0.99465,0.99567,0.995,0.93151,0.40891,0.29814,0.86333,0.001736,0.001736,0.001736
22,227.718,0.41937,0.35668,0.86432,1,0.99826,0.995,0.93078,0.43269,0.30313,0.85809,0.0017228,0.0017228,0.0017228
23,237.961,0.44154,0.34995,0.8636,0.98633,1,0.99496,0.9049,0.42657,0.29625,0.86988,0.0017096,0.0017096,0.0017096
24,248.178,0.42924,0.34116,0.8656,0.99569,0.99929,0.99466,0.9317,0.41166,0.29451,0.86699,0.0016964,0.0016964,0.0016964
25,258.487,0.4313,0.35111,0.86926,0.99955,0.99567,0.995,0.91708,0.41135,0.3041,0.85467,0.0016832,0.0016832,0.0016832
26,268.693,0.41491,0.33261,0.85809,0.99927,0.99567,0.995,0.9176,0.40756,0.30237,0.86009,0.00167,0.00167,0.00167
27,278.889,0.43834,0.34433,0.87138,0.99878,1,0.995,0.93957,0.38543,0.28594,0.85793,0.0016568,0.0016568,0.0016568
28,289.147,0.41144,0.328,0.85694,1,0.99525,0.995,0.94009,0.38425,0.28303,0.85453,0.0016436,0.0016436,0.0016436
29,299.374,0.40994,0.3342,0.8573,1,0.99504,0.995,0.93968,0.39714,0.28967,0.86348,0.0016304,0.0016304,0.0016304
30,309.537,0.4094,0.33118,0.85887,0.9824,0.99567,0.9947,0.9384,0.39109,0.28147,0.8558,0.0016172,0.0016172,0.0016172
31,319.721,0.41106,0.32855,0.85011,0.99565,0.99129,0.99496,0.94784,0.36123,0.27714,0.86733,0.001604,0.001604,0.001604
32,329.988,0.39952,0.32583,0.86359,0.99105,1,0.99427,0.93805,0.38366,0.26752,0.86059,0.0015908,0.0015908,0.0015908
33,340.233,0.38685,0.31741,0.85321,0.99966,1,0.995,0.92788,0.37965,0.26476,0.84844,0.0015776,0.0015776,0.0015776
34,350.474,0.38915,0.32566,0.84907,1,0.99937,0.995,0.93805,0.36037,0.2804,0.85083,0.0015644,0.0015644,0.0015644
35,361.334,0.38399,0.31853,0.85007,0.99976,1,0.995,0.94402,0.3714,0.27599,0.84967,0.0015512,0.0015512,0.0015512
36,371.531,0.37616,0.3093,0.84955,0.99966,1,0.995,0.9506,0.35971,0.2531,0.85367,0.001538,0.001538,0.001538
37,381.746,0.38622,0.31129,0.84531,0.99943,1,0.995,0.93825,0.37525,0.2722,0.84554,0.0015248,0.0015248,0.0015248
38,391.939,0.36616,0.31149,0.83804,0.99956,0.99567,0.995,0.94914,0.33265,0.24732,0.83903,0.0015116,0.0015116,0.0015116
39,402.114,0.36277,0.30446,0.83799,0.9991,1,0.995,0.94,0.35538,0.25444,0.84525,0.0014984,0.0014984,0.0014984
40,412.321,0.37622,0.3126,0.84495,0.99522,0.99567,0.995,0.95477,0.34383,0.25257,0.85256,0.0014852,0.0014852,0.0014852
41,422.554,0.37374,0.30947,0.84359,0.99569,0.99989,0.99496,0.94229,0.35688,0.24823,0.84908,0.001472,0.001472,0.001472
42,432.741,0.36492,0.29734,0.84641,0.99964,1,0.995,0.94713,0.35846,0.25359,0.85538,0.0014588,0.0014588,0.0014588
43,442.937,0.36602,0.30167,0.84716,0.99474,0.99134,0.99487,0.92193,0.42563,0.29399,0.89735,0.0014456,0.0014456,0.0014456
44,453.169,0.38525,0.29958,0.84424,0.99568,0.99841,0.995,0.94613,0.34248,0.29141,0.85261,0.0014324,0.0014324,0.0014324
45,463.34,0.36316,0.29528,0.84514,1,0.99905,0.995,0.95326,0.35129,0.25112,0.84739,0.0014192,0.0014192,0.0014192
46,473.533,0.36035,0.28278,0.83708,0.99906,1,0.995,0.9433,0.34744,0.25578,0.84116,0.001406,0.001406,0.001406
47,483.725,0.35542,0.28471,0.847,0.99569,0.99917,0.995,0.94679,0.3418,0.24532,0.84548,0.0013928,0.0013928,0.0013928
48,493.958,0.35174,0.2814,0.83773,1,0.99962,0.995,0.94764,0.3412,0.24943,0.82909,0.0013796,0.0013796,0.0013796
